                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6515,                 4.8315,                 4.2186,                0.00012,                0.02857,                  6e-05,                  1e-05,                 2.4749,                 4.2765,                 4.1578,                0.00012,                0.00012,                0.00012
                      2,                  3.698,                 4.6498,                 4.1943,                0.00012,                0.02857,                  6e-05,                  1e-05,                 2.4759,                 4.2747,                 4.1524,             0.00025743,             0.00025743,             0.00025743
                      3,                 3.7344,                 4.4379,                 4.1748,                0.00012,                0.02857,                  6e-05,                  1e-05,                 2.4728,                 4.2743,                 4.1408,             0.00039208,             0.00039208,             0.00039208
                      4,                 3.3892,                 4.2507,                 4.1204,                0.00012,                0.02857,                  6e-05,                  1e-05,                 2.4669,                 4.2711,                  4.129,             0.00052396,             0.00052396,             0.00052396
                      5,                 3.3096,                 4.1095,                 4.0584,                0.00012,                0.02857,                  6e-05,                  1e-05,                  2.466,                 4.2839,                 4.1102,             0.00065307,             0.00065307,             0.00065307
                      6,                 3.0673,                  4.023,                 3.9779,                0.00011,                0.02857,                  7e-05,                  1e-05,                 2.4663,                  4.214,                 4.0975,             0.00077941,             0.00077941,             0.00077941
                      7,                 3.1031,                 3.4865,                 3.7831,                0.00012,                0.02857,                  7e-05,                  1e-05,                 2.5235,                 4.2212,                 4.0974,             0.00090298,             0.00090298,             0.00090298
                      8,                 2.8996,                 3.2839,                 3.4984,                0.00012,                0.02857,                  7e-05,                  1e-05,                 2.5475,                 4.2652,                 4.1105,              0.0010238,              0.0010238,              0.0010238
                      9,                   2.71,                 3.3559,                 3.4785,                0.00012,                0.02857,                  7e-05,                  1e-05,                 2.5382,                 3.9274,                 4.1036,              0.0011418,              0.0011418,              0.0011418
                     10,                 2.7035,                  3.122,                 3.2843,                0.00012,                0.02857,                  7e-05,                  1e-05,                   2.62,                 3.9786,                  4.086,               0.001257,               0.001257,               0.001257
                     11,                 2.6228,                 2.7331,                 3.1033,                0.00167,                0.42857,                0.00135,                0.00028,                 2.6773,                  4.311,                 3.8963,              0.0013695,              0.0013695,              0.0013695
                     12,                  2.457,                 2.6967,                 3.0259,                0.00189,                0.48571,                0.00193,                0.00037,                 2.9788,                 4.0735,                 3.8883,              0.0014792,              0.0014792,              0.0014792
