                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 2.3562,                 2.6059,                 2.8676,                0.00189,                0.48571,                0.00305,                0.00055,                 3.0842,                  3.843,                 3.8844,              0.0015862,              0.0015862,              0.0015862
                     14,                 2.2841,                 2.4409,                 2.7803,                0.00564,                0.77143,                0.06374,                0.00997,                 3.1681,                 3.2643,                  3.826,              0.0016903,              0.0016903,              0.0016903
                     15,                  2.156,                 2.4681,                 2.6392,                0.00239,                0.54286,                0.06895,                0.00816,                 3.6585,                  3.166,                 4.0716,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.1019,                 2.3258,                 2.6295,                0.43851,                0.22857,                0.20033,                0.03741,                 3.4589,                 2.6832,                 3.8505,               0.001703,               0.001703,               0.001703
                     17,                 2.1138,                 2.2994,                 2.6241,                0.53601,                0.11429,                0.29158,                0.06137,                 3.0621,                  2.261,                 3.5326,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.0431,                 2.1921,                  2.412,                0.60396,                0.56654,                0.50233,                0.10482,                 3.1182,                 2.1715,                 3.4227,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.9944,                 2.1995,                  2.423,                0.52263,                0.12593,                0.25115,                0.08005,                 2.6144,                 2.8985,                 3.0567,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.9606,                 1.9746,                 2.3493,                0.43616,                0.68571,                0.51341,                0.19065,                 2.1274,                 1.8004,                 2.9298,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0162,                 1.9822,                 2.5075,                0.46316,                0.69029,                0.56016,                0.17717,                 2.3591,                 1.7652,                 3.0387,               0.001604,               0.001604,               0.001604
                     22,                 1.8247,                 1.8315,                 2.2702,                0.63721,                0.71429,                0.76174,                0.27772,                 2.2015,                 1.4922,                 2.8759,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8888,                 1.7713,                 2.3439,                0.76513,                0.62857,                0.78454,                0.32555,                 2.0596,                 1.6553,                 2.8088,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.6954,                 1.5606,                 2.2168,                0.82676,                0.62857,                0.83723,                0.46305,                 1.5548,                 1.6837,                 2.3822,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.7937,                 1.6195,                 2.3069,                0.95546,                0.62857,                0.85433,                0.44604,                 1.5919,                 1.5748,                 2.4215,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.7526,                 1.5146,                 2.1707,                0.71765,                0.79886,                0.82039,                0.43432,                 1.5349,                 1.6498,                 2.4096,               0.001505,               0.001505,               0.001505
                     27,                 1.8045,                 1.6254,                 2.3601,                0.75369,                0.68571,                0.81633,                0.44128,                 1.5101,                 1.3578,                 2.3505,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8004,                 1.4675,                 2.2796,                0.76616,                0.82857,                0.87457,                 0.5214,                 1.4134,                 1.3519,                 2.2958,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.7008,                  1.499,                  2.176,                 0.9068,                    0.8,                0.92679,                0.55525,                 1.3704,                 1.2706,                 2.2708,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.7005,                 1.4747,                 2.2268,                0.89403,                0.88571,                0.94683,                0.59516,                 1.3684,                 1.3094,                 2.2377,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.7478,                 1.4137,                 2.1946,                0.90612,                    0.8,                0.94297,                0.60029,                 1.3855,                 1.2505,                 2.1964,               0.001406,               0.001406,               0.001406
                     32,                 1.6863,                 1.3947,                 2.1524,                0.79665,                0.82857,                0.89546,                0.56114,                 1.4972,                 1.4221,                 2.2893,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7617,                 1.4223,                 2.2207,                0.79409,                0.74286,                0.88656,                0.54645,                 1.4462,                 1.3083,                 2.2539,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.6316,                 1.3151,                 2.1168,                0.90343,                0.77143,                0.92229,                0.54882,                 1.4161,                 1.2959,                 2.2805,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.6848,                 1.2739,                 2.1622,                0.87229,                0.88571,                0.93354,                0.55508,                 1.4876,                  1.241,                 2.3809,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.6297,                 1.2811,                 2.0504,                0.91077,                0.88571,                0.92575,                 0.5764,                 1.4127,                 1.4876,                 2.2534,               0.001307,               0.001307,               0.001307
                     37,                 1.6568,                 1.3185,                 2.0657,                0.81601,                0.88707,                0.90294,                0.58277,                 1.3321,                 1.1909,                 2.1567,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6241,                 1.2814,                 2.0627,                0.83976,                0.82857,                0.93111,                0.58948,                 1.3303,                 1.1178,                 2.1546,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5317,                 1.2879,                 1.9379,                0.88186,                0.88571,                0.93959,                 0.6147,                 1.4032,                 1.1408,                 2.1618,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5421,                 1.2758,                 1.9903,                0.89257,                0.85714,                0.93353,                0.63297,                 1.2612,                 1.2249,                  2.126,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.468,                 1.1826,                 1.9314,                0.88048,                0.84214,                0.93678,                0.62551,                 1.2614,                 1.3891,                 2.1191,               0.001208,               0.001208,               0.001208
                     42,                 1.4175,                 1.2088,                 1.8963,                 0.8817,                0.82857,                0.94784,                 0.6324,                 1.2203,                 1.1209,                 2.0759,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4591,                 1.1898,                 1.8795,                0.91256,                0.91429,                0.95707,                0.64934,                 1.2632,                 1.0523,                 2.0687,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4884,                 1.1503,                 1.9296,                0.96835,                0.87447,                0.96275,                0.64745,                 1.2216,                 1.0455,                 2.0001,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3906,                 1.0511,                 1.8138,                0.93874,                0.87589,                0.95388,                0.66547,                 1.1389,                 1.0355,                  1.959,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3787,                 1.0904,                 1.8301,                0.95063,                0.91429,                0.96243,                0.70043,                 1.1817,                0.96877,                 1.9775,               0.001109,               0.001109,               0.001109
                     47,                 1.4006,                 1.0474,                 1.8664,                0.96602,                0.81243,                0.95881,                0.63512,                 1.2741,                0.96278,                 2.0592,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.4245,                 1.0903,                 1.9523,                0.96832,                0.87363,                0.97174,                0.72698,                  1.075,                0.88851,                 1.9303,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3806,                 1.0052,                  1.787,                0.96136,                0.88571,                0.97215,                0.69683,                 1.1783,                0.88665,                 1.9867,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3256,                 1.0212,                 1.8907,                0.97695,                0.94286,                0.98378,                0.70088,                 1.1404,                0.84665,                 1.9494,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3977,                0.99115,                 1.8896,                0.96375,                0.97143,                0.98187,                0.70961,                  1.115,                0.83889,                 1.9212,                0.00101,                0.00101,                0.00101
                     52,                 1.4193,                0.99705,                 1.8659,                0.97057,                0.94229,                 0.9829,                0.71882,                 1.0788,                0.87499,                 1.9247,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.309,                 0.9814,                 1.7978,                0.97005,                0.92545,                 0.9844,                0.66689,                 1.1688,                0.82343,                 1.9625,              0.0009704,              0.0009704,              0.0009704
                     54,                   1.29,                0.93695,                 1.7197,                0.94163,                0.92204,                0.98223,                0.72461,                 1.1038,                0.79107,                 1.9016,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4265,                 1.0268,                 1.8663,                0.93889,                0.97143,                 0.9804,                0.73113,                 1.1093,                0.84286,                 1.9233,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3002,                0.94287,                 1.7465,                0.96803,                0.94286,                0.97991,                0.72318,                 1.1027,                0.80834,                 1.9127,               0.000911,               0.000911,               0.000911
                     57,                 1.2865,                0.95345,                  1.743,                      1,                0.92978,                0.97878,                0.65225,                  1.126,                0.86964,                 1.9493,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2517,                0.90279,                 1.7326,                      1,                0.93214,                0.98277,                 0.7353,                 1.0293,                0.79201,                 1.8353,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.239,                0.87596,                 1.6491,                 0.9409,                0.94286,                0.98434,                0.73325,                 1.1553,                0.82792,                 1.9383,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2008,                0.84472,                  1.604,                0.98242,                0.91429,                 0.9842,                0.73686,                 1.0313,                0.78369,                 1.8205,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2119,                0.87838,                 1.6457,                0.99006,                0.91429,                0.98212,                0.73304,                 1.0172,                0.74933,                 1.8098,               0.000812,               0.000812,               0.000812
                     62,                 1.2038,                0.86738,                 1.6047,                 0.9605,                0.94286,                0.97155,                0.73795,                0.99575,                0.75331,                 1.8015,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1423,                0.84713,                 1.6511,                0.93578,                0.94286,                0.97895,                0.73217,                0.95622,                0.74702,                  1.805,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2352,                0.86898,                  1.679,                      1,                0.90594,                0.98544,                0.73889,                0.96094,                0.73136,                 1.7819,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1441,                   0.85,                 1.6328,                0.96101,                0.97143,                0.98989,                0.78003,                0.96946,                0.72346,                 1.7745,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.211,                0.84555,                 1.6344,                0.97355,                0.94286,                0.99042,                0.71841,                0.99322,                0.71098,                 1.7584,               0.000713,               0.000713,               0.000713
                     67,                   1.14,                0.79785,                 1.6444,                 0.9896,                0.94286,                0.99005,                0.75932,                 1.0186,                0.67202,                  1.762,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1201,                0.82104,                 1.6566,                      1,                  0.964,                0.99392,                0.76763,                0.92126,                0.66674,                 1.7085,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.223,                0.86894,                 1.7375,                      1,                0.96453,                0.99444,                0.76714,                0.90513,                0.69288,                 1.7129,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1893,                 0.8207,                 1.6603,                 0.9871,                0.97143,                0.99342,                0.80351,                0.91534,                0.66449,                 1.7357,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1719,                0.80746,                 1.6309,                0.99885,                0.94286,                 0.9923,                0.78097,                0.88997,                0.65346,                 1.7224,               0.000614,               0.000614,               0.000614
                     72,                 1.1499,                0.80654,                 1.6322,                 0.9933,                0.94286,                0.99175,                0.78718,                0.88834,                0.66601,                 1.7073,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.1078,                0.76318,                 1.5544,                0.96042,                0.97143,                0.99256,                0.79721,                0.89273,                 0.6766,                 1.7096,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1046,                0.75692,                 1.5901,                0.98989,                0.97143,                0.99342,                0.80499,                0.87239,                0.67362,                 1.6925,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0821,                0.75935,                 1.5699,                0.99587,                0.97143,                0.99295,                0.78672,                0.93647,                0.62738,                 1.7334,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0212,                0.74078,                 1.5036,                0.99805,                0.97143,                0.99392,                0.82006,                0.91573,                0.62762,                 1.7206,               0.000515,               0.000515,               0.000515
                     77,                 1.1039,                0.77297,                 1.5492,                 0.9976,                0.97143,                0.99392,                0.80934,                0.85988,                0.60543,                 1.6658,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0088,                 0.7401,                 1.5796,                0.94564,                 0.9942,                 0.9922,                0.78684,                0.87578,                0.58979,                 1.6462,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0978,                0.72712,                 1.5729,                 0.9927,                0.97143,                 0.9925,                0.72711,                 1.0212,                  0.629,                  1.738,              0.0004556,              0.0004556,              0.0004556
                     80,                   1.08,                0.72257,                 1.5521,                0.99013,                0.97143,                 0.9925,                0.79404,                0.86166,                0.60869,                 1.6341,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0972,                0.77165,                 1.5836,                0.98776,                0.97143,                 0.9925,                0.79761,                0.82141,                0.60972,                 1.6121,               0.000416,               0.000416,               0.000416
                     82,                 1.0747,                0.74101,                 1.5127,                0.97779,                0.97143,                0.99295,                0.79499,                0.81297,                0.61434,                 1.6139,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0602,                0.74995,                 1.5317,                0.95925,                0.97143,                 0.9925,                0.80685,                0.84644,                0.60954,                 1.6224,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0044,                0.72225,                   1.55,                0.96736,                0.97143,                0.99164,                0.80574,                0.86798,                 0.6056,                 1.6345,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0836,                0.73375,                 1.5515,                0.96605,                0.97143,                0.99209,                0.79599,                 0.8541,                 0.5957,                 1.6242,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0276,                0.74276,                 1.5278,                0.97118,                0.96308,                0.99256,                0.78923,                0.85878,                 0.5899,                 1.6274,               0.000317,               0.000317,               0.000317
                     87,                 1.0714,                0.74325,                 1.5349,                0.96394,                0.97143,                0.98999,                0.80316,                0.84765,                0.58646,                 1.6174,              0.0002972,              0.0002972,              0.0002972
                     88,                0.93669,                0.68667,                 1.4337,                0.99054,                0.97143,                 0.9925,                0.79219,                0.85202,                0.57271,                 1.6004,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.1393,                0.76483,                 1.5989,                0.98197,                0.97143,                0.99295,                0.79677,                0.87742,                0.58696,                 1.6129,              0.0002576,              0.0002576,              0.0002576
                     90,                0.97739,                0.67629,                 1.4876,                0.98367,                0.97143,                0.99392,                0.79779,                0.84265,                0.57797,                 1.5914,              0.0002378,              0.0002378,              0.0002378
                     91,                0.93945,                 0.7543,                 1.5729,                0.96598,                0.97143,                0.99256,                0.79379,                0.81523,                0.56898,                 1.5742,               0.000218,               0.000218,               0.000218
                     92,                0.93286,                0.73618,                 1.5729,                0.96757,                0.97143,                0.99306,                 0.7752,                0.83788,                0.58195,                 1.6012,              0.0001982,              0.0001982,              0.0001982
                     93,                0.92145,                0.72585,                 1.5454,                0.96687,                0.97143,                0.99306,                0.77187,                0.86106,                0.60476,                 1.6258,              0.0001784,              0.0001784,              0.0001784
                     94,                0.92157,                0.71488,                 1.6036,                0.96683,                0.97143,                0.99209,                0.77666,                0.84833,                0.59791,                 1.6154,              0.0001586,              0.0001586,              0.0001586
                     95,                0.89449,                0.68049,                 1.5131,                0.96402,                0.97143,                0.99209,                 0.7945,                0.80955,                0.56376,                 1.5693,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.8763,                0.66673,                 1.4911,                 0.9727,                0.97143,                0.99295,                0.81147,                0.79664,                0.54984,                 1.5696,               0.000119,               0.000119,               0.000119
                     97,                0.89522,                0.69904,                 1.5332,                0.97477,                0.97143,                0.99295,                0.80933,                0.79433,                0.54338,                 1.5677,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.89923,                0.67099,                  1.586,                0.97951,                0.97143,                0.99392,                 0.8078,                0.77564,                0.53589,                  1.549,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.90512,                0.69215,                 1.5541,                0.98044,                0.97143,                0.99392,                0.81237,                0.76122,                0.53135,                 1.5325,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.86125,                0.67977,                  1.509,                0.98052,                0.97143,                0.99392,                0.80746,                0.75851,                0.52924,                  1.528,               3.98e-05,               3.98e-05,               3.98e-05
