                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.80447,                0.58333,                0.98182,                0.99476,                      1,                  0.995,                0.85501,                0.60384,                0.45919,                0.87683,              0.0012872,              0.0012872,              0.0012872
                     38,                0.76632,                0.57514,                0.99561,                0.99798,                      1,                  0.995,                0.86475,                0.61744,                 0.4329,                0.88003,              0.0012674,              0.0012674,              0.0012674
                     39,                0.78556,                 0.6235,                0.98582,                0.99818,                      1,                  0.995,                0.86413,                0.58909,                0.43734,                0.87289,              0.0012476,              0.0012476,              0.0012476
                     40,                0.69642,                0.53702,                0.93166,                0.99826,                      1,                  0.995,                0.85738,                0.60285,                 0.3957,                0.86937,              0.0012278,              0.0012278,              0.0012278
                     41,                0.74067,                0.54368,                 0.9485,                0.99829,                      1,                  0.995,                0.87047,                0.57927,                0.36722,                0.86448,               0.001208,               0.001208,               0.001208
                     42,                0.71078,                0.54122,                0.92354,                0.99839,                      1,                  0.995,                0.84944,                0.59061,                0.38479,                0.87306,              0.0011882,              0.0011882,              0.0011882
                     43,                0.76025,                0.58731,                0.97401,                0.99818,                      1,                  0.995,                0.84118,                0.61246,                0.37978,                0.88735,              0.0011684,              0.0011684,              0.0011684
                     44,                0.77849,                0.56457,                0.98342,                0.99817,                      1,                  0.995,                0.85789,                0.59313,                0.38457,                0.88467,              0.0011486,              0.0011486,              0.0011486
                     45,                0.78816,                0.57098,                 1.0229,                0.99827,                      1,                  0.995,                0.86148,                0.57538,                0.38269,                0.87301,              0.0011288,              0.0011288,              0.0011288
                     46,                0.73447,                0.53875,                0.94679,                 0.9983,                      1,                  0.995,                0.86859,                0.57724,                0.35776,                0.86498,               0.001109,               0.001109,               0.001109
                     47,                0.72149,                0.51347,                0.95743,                0.99828,                      1,                  0.995,                0.86581,                0.57297,                0.34738,                0.86527,              0.0010892,              0.0010892,              0.0010892
                     48,                0.74358,                0.52166,                0.94008,                0.99832,                      1,                  0.995,                0.86093,                0.55456,                0.34078,                0.86619,              0.0010694,              0.0010694,              0.0010694
                     49,                0.70501,                0.51216,                 0.9516,                 0.9983,                      1,                  0.995,                0.86775,                0.56134,                0.34594,                0.86886,              0.0010496,              0.0010496,              0.0010496
                     50,                0.68207,                0.50518,                0.94343,                0.99831,                      1,                  0.995,                0.85659,                0.60163,                0.34645,                0.88591,              0.0010298,              0.0010298,              0.0010298
                     51,                0.67639,                0.47838,                0.93437,                0.99834,                      1,                  0.995,                0.86444,                0.57229,                0.33749,                0.87619,                0.00101,                0.00101,                0.00101
                     52,                0.70782,                0.48307,                 0.9737,                0.99817,                      1,                  0.995,                0.85706,                0.56225,                0.34108,                0.86702,              0.0009902,              0.0009902,              0.0009902
                     53,                0.73679,                  0.505,                0.98969,                0.99805,                      1,                  0.995,                0.85989,                0.56951,                0.33856,                  0.866,              0.0009704,              0.0009704,              0.0009704
                     54,                0.67175,                0.47248,                 0.9591,                0.99825,                      1,                  0.995,                0.87775,                0.56297,                0.33021,                0.86289,              0.0009506,              0.0009506,              0.0009506
                     55,                0.71482,                 0.4707,                0.93413,                0.99838,                      1,                  0.995,                0.87044,                0.57124,                0.33311,                0.86978,              0.0009308,              0.0009308,              0.0009308
                     56,                0.67455,                0.46403,                0.95726,                0.99831,                      1,                  0.995,                0.89476,                0.52081,                0.32265,                0.85071,               0.000911,               0.000911,               0.000911
                     57,                0.72386,                0.52218,                0.99176,                0.99841,                      1,                  0.995,                 0.8911,                0.51126,                0.31448,                0.84945,              0.0008912,              0.0008912,              0.0008912
                     58,                0.73832,                0.49495,                0.97109,                 0.9983,                      1,                  0.995,                0.89873,                0.49916,                0.32347,                0.84446,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.6318,                0.46762,                0.92839,                 0.9984,                      1,                  0.995,                0.88176,                0.51161,                0.32144,                0.84958,              0.0008516,              0.0008516,              0.0008516
                     60,                0.66168,                0.45752,                0.93787,                0.99838,                      1,                  0.995,                0.87187,                 0.5933,                0.34972,                0.88136,              0.0008318,              0.0008318,              0.0008318
                     61,                0.61266,                0.40971,                0.89296,                0.99835,                      1,                  0.995,                0.87432,                0.55893,                0.33612,                0.86323,               0.000812,               0.000812,               0.000812
                     62,                0.63132,                0.43463,                0.90214,                0.99845,                      1,                  0.995,                0.89717,                0.49658,                0.32815,                0.83645,              0.0007922,              0.0007922,              0.0007922
                     63,                0.64794,                0.46287,                0.92671,                 0.9985,                      1,                  0.995,                 0.8926,                 0.5211,                 0.3164,                0.84232,              0.0007724,              0.0007724,              0.0007724
                     64,                0.63677,                0.44341,                0.90012,                0.99841,                      1,                  0.995,                0.88744,                0.49222,                0.31044,                0.83153,              0.0007526,              0.0007526,              0.0007526
                     65,                0.62041,                0.43037,                0.93829,                0.99838,                      1,                  0.995,                0.90744,                0.46501,                0.29826,                0.82318,              0.0007328,              0.0007328,              0.0007328
                     66,                0.60097,                  0.427,                0.92102,                0.99847,                      1,                  0.995,                0.90754,                0.46492,                0.30055,                0.82489,               0.000713,               0.000713,               0.000713
                     67,                0.63171,                0.43971,                0.91092,                0.99838,                      1,                  0.995,                0.90633,                 0.4568,                0.29891,                0.82424,              0.0006932,              0.0006932,              0.0006932
                     68,                0.63293,                0.43395,                0.92222,                0.99834,                      1,                  0.995,                0.91807,                0.44434,                 0.2898,                0.82273,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.6405,                0.42193,                0.93291,                0.99836,                      1,                  0.995,                0.91145,                0.44986,                0.28358,                 0.8266,              0.0006536,              0.0006536,              0.0006536
                     70,                  0.596,                0.41198,                0.93943,                0.99836,                      1,                  0.995,                0.91914,                 0.4182,                0.27946,                0.82104,              0.0006338,              0.0006338,              0.0006338
                     71,                0.57631,                0.42544,                0.90829,                0.99835,                      1,                  0.995,                0.90453,                0.47328,                0.29623,                0.83926,               0.000614,               0.000614,               0.000614
                     72,                0.58489,                 0.4109,                0.90522,                 0.9983,                      1,                  0.995,                0.89772,                0.45378,                0.29355,                0.82773,              0.0005942,              0.0005942,              0.0005942
                     73,                0.57596,                0.40804,                0.88638,                0.99838,                      1,                  0.995,                0.91053,                0.45051,                0.29069,                0.82449,              0.0005744,              0.0005744,              0.0005744
                     74,                0.55478,                0.38931,                0.90401,                 0.9985,                      1,                  0.995,                0.91084,                0.42251,                0.28354,                0.81928,              0.0005546,              0.0005546,              0.0005546
                     75,                0.57555,                0.40407,                0.89706,                 0.9986,                      1,                  0.995,                0.91217,                0.42289,                0.27396,                0.81867,              0.0005348,              0.0005348,              0.0005348
                     76,                0.54552,                0.39007,                0.89637,                0.99861,                      1,                  0.995,                0.90951,                0.42704,                0.26483,                0.81604,               0.000515,               0.000515,               0.000515
                     77,                0.59751,                0.42257,                0.93596,                0.99857,                      1,                  0.995,                0.90966,                0.41423,                0.25913,                0.81262,              0.0004952,              0.0004952,              0.0004952
                     78,                0.52558,                0.37309,                0.89705,                0.99852,                      1,                  0.995,                 0.9071,                0.39855,                0.25098,                0.81242,              0.0004754,              0.0004754,              0.0004754
                     79,                0.55839,                0.39365,                0.89961,                0.99856,                      1,                  0.995,                0.91917,                0.38927,                0.24312,                0.80675,              0.0004556,              0.0004556,              0.0004556
                     80,                0.59498,                0.39857,                0.90938,                0.99857,                      1,                  0.995,                0.91186,                0.41231,                0.25499,                0.80784,              0.0004358,              0.0004358,              0.0004358
                     81,                0.56948,                0.39317,                0.92677,                0.99856,                      1,                  0.995,                0.91272,                0.40373,                0.25788,                0.80645,               0.000416,               0.000416,               0.000416
                     82,                 0.5717,                 0.3835,                0.92291,                0.99853,                      1,                  0.995,                0.92583,                0.38967,                0.24995,                0.80523,              0.0003962,              0.0003962,              0.0003962
                     83,                0.58189,                0.39075,                0.87755,                 0.9985,                      1,                  0.995,                0.92092,                0.42817,                0.26502,                0.81525,              0.0003764,              0.0003764,              0.0003764
                     84,                0.56325,                0.37723,                0.92648,                 0.9985,                      1,                  0.995,                 0.9192,                0.42523,                0.26825,                0.81506,              0.0003566,              0.0003566,              0.0003566
                     85,                0.53546,                0.37033,                0.88607,                 0.9985,                      1,                  0.995,                0.93475,                0.40297,                0.26477,                0.80832,              0.0003368,              0.0003368,              0.0003368
                     86,                0.54623,                0.37493,                 0.9028,                0.99847,                      1,                  0.995,                0.92022,                0.38868,                  0.256,                0.80332,               0.000317,               0.000317,               0.000317
                     87,                0.54823,                0.38316,                0.91528,                0.99843,                      1,                  0.995,                0.92493,                0.38828,                0.25483,                0.80387,              0.0002972,              0.0002972,              0.0002972
                     88,                0.51631,                0.35618,                0.88813,                0.99837,                      1,                  0.995,                0.92394,                0.38003,                0.24915,                0.80219,              0.0002774,              0.0002774,              0.0002774
                     89,                0.53271,                 0.3635,                0.91129,                0.99839,                      1,                  0.995,                0.92296,                0.38521,                0.25352,                0.80244,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.5146,                0.35117,                0.90495,                0.99842,                      1,                  0.995,                0.93009,                0.39805,                0.26028,                0.80547,              0.0002378,              0.0002378,              0.0002378
                     91,                0.43626,                0.33769,                0.84963,                0.99841,                      1,                  0.995,                0.92338,                 0.4021,                 0.2634,                0.80908,               0.000218,               0.000218,               0.000218
                     92,                0.40042,                0.32664,                0.85784,                0.99842,                      1,                  0.995,                0.91781,                0.40699,                0.25992,                0.81165,              0.0001982,              0.0001982,              0.0001982
                     93,                0.44448,                 0.3427,                0.88284,                0.99839,                      1,                  0.995,                0.91879,                0.39545,                0.25656,                0.80859,              0.0001784,              0.0001784,              0.0001784
                     94,                0.43708,                0.33667,                0.87124,                0.99839,                      1,                  0.995,                0.92026,                 0.3762,                0.25595,                0.80236,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.3965,                0.32904,                0.83588,                 0.9984,                      1,                  0.995,                0.92242,                0.37407,                 0.2477,                0.79935,              0.0001388,              0.0001388,              0.0001388
                     96,                0.44961,                0.33587,                0.88412,                0.99841,                      1,                  0.995,                0.92817,                0.37324,                0.24654,                 0.7983,               0.000119,               0.000119,               0.000119
                     97,                0.42521,                0.32421,                 0.8388,                0.99843,                      1,                  0.995,                 0.9323,                0.37199,                0.24683,                0.79761,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.41215,                0.32296,                0.85123,                0.99842,                      1,                  0.995,                0.92985,                0.36664,                0.24593,                0.79577,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.40052,                0.32719,                0.84477,                 0.9984,                      1,                  0.995,                0.93943,                0.36344,                0.24484,                0.79505,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 0.3919,                0.31318,                0.85902,                0.99839,                      1,                  0.995,                0.93847,                0.36336,                0.24464,                0.79455,               3.98e-05,               3.98e-05,               3.98e-05
